NAME,AGENT
SRI LAKSHMI NARASIMHA SWAMY TEXTILES.Ana,RAVVA SUDEEPTI
SRI LAKSHMI NARASIMHA TEXTORIUM,RAVVA SUDEEPTI
"SRI LAKSHMI VENKATESWARA TEXTILES,CHIMAK",RAVVA SUDEEPTI
"SRI MADAN TEXTILES,Ananthapuramu,",RAVVA SUDEEPTI
"SRI MADAN TEXTILES,GUNTAKAL",RAVVA SUDEEPTI
SRI MAHA DEVI TEXTILES,RAVVA SUDEEPTI
"SRI NAGESWARA TEXTILES, PRODDATUR",RAVVA SUDEEPTI
"SRI NEELAKANTESWARA TEXTILES,Kurnool",RAVVA SUDEEPTI
SRI RAJYALAKSHMI CLOTH EMPORIUM,RAVVA SUDEEPTI
SRI RAMABHAKTHA HANUMAN CLOTH PALACE,RAVVA SUDEEPTI
"Sri Srinivasa Cloth Shop,Ongole",RAVVA SUDEEPTI
"SRI VARASIDDHI VINAYAKA HANDLOOMS,PRODDU",RAVVA SUDEEPTI
"SRI VARI ENTERPRISES,Tiruttani,SHOLINGHU",RAVVA SUDEEPTI
SRI VENKATA LAKSHMI ANJANEYA TEXTILES,RAVVA SUDEEPTI
"SRI VENKATA MANIKANTA HANDLOOMS,KAVALI",RAVVA SUDEEPTI
SRI Venkateswara Chenata Vastralayam New,RAVVA SUDEEPTI
SRI VENKATESWARA HAND LOOMS AND TEX TILE,RAVVA SUDEEPTI
"SRI VIJAYA SAI TEXTILES,PRODDATUR",RAVVA SUDEEPTI
"SUDARSHAN MATCHING CENTRE,MARKAPUR",RAVVA SUDEEPTI
"SUDHAKAR TEXTILE,PRODDATUR",RAVVA SUDEEPTI
"SUDHAKAR TEXTILES,PRODDATUR[NEW]",RAVVA SUDEEPTI
"SUMUKHA TEXTILES,KANIGIRI",RAVVA SUDEEPTI
SURENDRANATH GAJULAPALLI,RAVVA SUDEEPTI
SURESH BABU GAJULAPALLI,RAVVA SUDEEPTI
"SWAMY TEXTILE AGENCIES,DHARMAVARAM",RAVVA SUDEEPTI
